Mandala,Sukta,Rishis,Devatas,Categories,Verse,Verse_DEV,Verse_IAST,Word_Index,Word_DEV,Word_IAST,Syllable_Index,Syllable_DEV,Syllable_IAST,Syllable_Onset,Syllable_Nucleus,Syllable_Coda,Syllable_Weight,Syllable_Swaras,Syllable_IAST_Letters,Letter_Index,Letter_Value,Letter_HasSwara,Letter_SwaraType,Letter_PhonemeClass,Letter_VowelLength,Letter_IAST_Index,Letter_IAST_Value,Letter_IAST_PhonemeClass,Letter_IAST_VowelLength
0,0,"","","",1," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",0,"अग्निमीळे","agnimīḻe",0,"अ","a","","अ","","light","udatta","a",0,"अ",false,"udatta","Vowel","Short",0,"a","Vowel","Short"
0,0,"","","",1," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",0,"अग्निमीळे","agnimīḻe",1,"ग्नि","gni","ग्न","ि","","light","udatta|udatta|udatta|udatta","gni",0,"ग",false,"udatta","Velar","None",0,"g","Velar","None"
0,0,"","","",1," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",0,"अग्निमीळे","agnimīḻe",1,"ग्नि","gni","ग्न","ि","","light","udatta|udatta|udatta|udatta","gni",1,"्",false,"udatta","Other","None",1,"n","Nasal","None"
0,0,"","","",1," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",0,"अग्निमीळे","agnimīḻe",1,"ग्नि","gni","ग्न","ि","","light","udatta|udatta|udatta|udatta","gni",2,"न",false,"udatta","Nasal","None",2,"i","Vowel","Short"
0,0,"","","",1," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",0,"अग्निमीळे","agnimīḻe",1,"ग्नि","gni","ग्न","ि","","light","udatta|udatta|udatta|udatta","gni",3,"ि",false,"udatta","Vowel","Short",,"","",""
0,0,"","","",1," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",0,"अग्निमीळे","agnimīḻe",2,"मी","mī","म","ी","","heavy","udatta|udatta","mī",0,"म",false,"udatta","Nasal","None",0,"m","Nasal","None"
0,0,"","","",1," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",0,"अग्निमीळे","agnimīḻe",2,"मी","mī","म","ी","","heavy","udatta|udatta","mī",1,"ी",false,"udatta","Vowel","Long",1,"ī","Vowel","Long"
0,0,"","","",1," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",0,"अग्निमीळे","agnimīḻe",3,"ळे","ḻe","ळ","े","","heavy","udatta|udatta","ḻe",0,"ळ",false,"udatta","Other","None",0,"ḻ","Other","None"
0,0,"","","",1," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",0,"अग्निमीळे","agnimīḻe",3,"ळे","ḻe","ळ","े","","heavy","udatta|udatta","ḻe",1,"े",false,"udatta","Vowel","Long",1,"e","Vowel","Long"
0,0,"","","",1," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",1,"पुरोहितं","purohitaṃ",0,"पु","pu","प","ु","","light","udatta|udatta","pu",0,"प",false,"udatta","Labial","None",0,"p","Labial","None"
0,0,"","","",1," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",1,"पुरोहितं","purohitaṃ",0,"पु","pu","प","ु","","light","udatta|udatta","pu",1,"ु",false,"udatta","Vowel","Short",1,"u","Vowel","Short"
0,0,"","","",1," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",1,"पुरोहितं","purohitaṃ",1,"रो","ro","र","ो","","heavy","udatta|udatta","ro",0,"र",false,"udatta","Liquid","None",0,"r","Liquid","None"
0,0,"","","",1," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",1,"पुरोहितं","purohitaṃ",1,"रो","ro","र","ो","","heavy","udatta|udatta","ro",1,"ो",false,"udatta","Vowel","Long",1,"o","Vowel","Long"
0,0,"","","",1," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",1,"पुरोहितं","purohitaṃ",2,"हि","hi","ह","ि","","light","udatta|udatta","hi",0,"ह",false,"udatta","Aspirate","None",0,"h","Aspirate","None"
0,0,"","","",1," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",1,"पुरोहितं","purohitaṃ",2,"हि","hi","ह","ि","","light","udatta|udatta","hi",1,"ि",false,"udatta","Vowel","Short",1,"i","Vowel","Short"
0,0,"","","",1," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",1,"पुरोहितं","purohitaṃ",3,"तं","taṃ","","त","ं","heavy","udatta|udatta","taṃ",0,"त",false,"udatta","Dental","None",0,"t","Dental","None"
0,0,"","","",1," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",1,"पुरोहितं","purohitaṃ",3,"तं","taṃ","","त","ं","heavy","udatta|udatta","taṃ",1,"ं",false,"udatta","Nasal","None",1,"a","Vowel","Short"
0,0,"","","",1," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",1,"पुरोहितं","purohitaṃ",3,"तं","taṃ","","त","ं","heavy","udatta|udatta","taṃ","","","","","","",2,"ṃ","Nasal","None"
0,0,"","","",1," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",2,"यज्ञस्य","yajñasya",0,"य","ya","","य","","light","udatta","ya",0,"य",false,"udatta","Semivowel","None",0,"y","Semivowel","None"
0,0,"","","",1," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",2,"यज्ञस्य","yajñasya",0,"य","ya","","य","","light","udatta","ya","","","","","","",1,"a","Vowel","Short"
0,0,"","","",1," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",2,"यज्ञस्य","yajñasya",1,"ज्ञ","jña","ज्","ञ","","light","udatta|udatta|udatta","jña",0,"ज",false,"udatta","Palatal","None",0,"j","Palatal","None"
0,0,"","","",1," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",2,"यज्ञस्य","yajñasya",1,"ज्ञ","jña","ज्","ञ","","light","udatta|udatta|udatta","jña",1,"्",false,"udatta","Other","None",1,"ñ","Nasal","None"
