Type,Key,Value
Letter,ं,10
Letter,ः,7
Letter,अ,5
Letter,इ,1
Letter,उ,1
Letter,ए,1
Letter,क,4
Letter,ग,13
Letter,ङ,2
Letter,च,3
Letter,छ,1
Letter,ज,4
Letter,ञ,2
Letter,ड,1
Letter,ण,1
Letter,त,31
Letter,द,17
Letter,ध,5
Letter,न,22
Letter,प,8
Letter,भ,7
Letter,म,20
Letter,य,16
Letter,र,27
Letter,ळ,1
Letter,व,35
Letter,श,6
Letter,ष,7
Letter,स,20
Letter,ह,4
Letter,ऽ,1
Letter,ा,17
Letter,ि,29
Letter,ी,5
Letter,ु,6
Letter,ू,4
Letter,ृ,1
Letter,े,26
Letter,ै,1
Letter,ो,10
Letter,्,54
Swara,udatta,436
PhonemeClass,Aspirate,11
PhonemeClass,Dental,53
PhonemeClass,Labial,15
PhonemeClass,Liquid,27
PhonemeClass,Nasal,57
PhonemeClass,Palatal,8
PhonemeClass,Retroflex,1
PhonemeClass,Semivowel,51
PhonemeClass,Sibilant,33
PhonemeClass,Velar,17
PhonemeClass,Vowel,107
