Mandala,Sukta,Verse,Meter,Surface_Word_Index,Surface_DEV,Surface_IAST,Segmented_DEV,Segmented_IAST,Left_Underlying_Word_Index,Left_Underlying_DEV,Left_Underlying_IAST,Right_Underlying_Word_Index,Right_Underlying_DEV,Right_Underlying_IAST,Category,Subtype,Confidence,Normalization_Status,Detected,Notes
0,0,1,"Gayatri",0,"अग्निमीळे","agnimīḻe","अग्निम ईḻे","agnim īḻe",0,"अग्निम","agnim",1,"ईḻे","īḻe","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,3,"Gayatri",1,"रयिमश्नवत्पोषमेव","rayimaśnavatpoṣameva","रयिम अश्नवत पोषम एव","rayim aśnavat poṣam eva",1,"रयिम","rayim",2,"अश्नवत","aśnavat","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,3,"Gayatri",1,"रयिमश्नवत्पोषमेव","rayimaśnavatpoṣameva","रयिम अश्नवत पोषम एव","rayim aśnavat poṣam eva",2,"अश्नवत","aśnavat",3,"पोषम","poṣam","consonant sandhi","external consonant contact","medium","generated",true,"Both sides of the boundary are consonantal."
0,0,3,"Gayatri",1,"रयिमश्नवत्पोषमेव","rayimaśnavatpoṣameva","रयिम अश्नवत पोषम एव","rayim aśnavat poṣam eva",3,"पोषम","poṣam",4,"एव","eva","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,4,"Gayatri",2,"यज्ञमध्वरं","yajñamadhvaraṃviśvataḥparibhūr","यज्ञम अध्वरं विश्वतः परिभूर","yajñam adhvaraṃ viśvataḥ paribhūr",2,"यज्ञम","yajñam",3,"अध्वरं","adhvaraṃ","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,4,"Gayatri",2,"यज्ञमध्वरं","yajñamadhvaraṃviśvataḥparibhūr","यज्ञम अध्वरं विश्वतः परिभूर","yajñam adhvaraṃ viśvataḥ paribhūr",3,"अध्वरं","adhvaraṃ",4,"विश्वतः","viśvataḥ","consonant sandhi","external consonant contact","medium","generated",true,"Both sides of the boundary are consonantal."
0,0,4,"Gayatri",2,"यज्ञमध्वरं","yajñamadhvaraṃviśvataḥparibhūr","यज्ञम अध्वरं विश्वतः परिभूर","yajñam adhvaraṃ viśvataḥ paribhūr",4,"विश्वतः","viśvataḥ",5,"परिभूर","paribhūr","visarga sandhi","external visarga","high","generated",true,"Left underlying form ends in visarga before the next segment."
0,0,4,"Gayatri",4,"परिभूरसि","saiddeveṣu","स इद देवेषु","sa id deveṣu",7,"स","sa",8,"इद","id","vowel sandhi","heterogeneous vowel contact","medium","generated",true,"Adjacent vowels across the boundary suggest vowel sandhi."
0,0,4,"Gayatri",4,"परिभूरसि","saiddeveṣu","स इद देवेषु","sa id deveṣu",8,"इद","id",9,"देवेषु","deveṣu","consonant sandhi","external consonant contact","medium","generated",true,"Both sides of the boundary are consonantal."
0,0,5,"Gayatri",0,"अग्निर्होता","agnirhotākavikratuḥsatyaś","अग्निर होता कविक्रतुः सत्यश","agnir hotā kavikratuḥ satyaś",0,"अग्निर","agnir",1,"होता","hotā","consonant sandhi","external consonant contact","medium","generated",true,"Both sides of the boundary are consonantal."
0,0,5,"Gayatri",0,"अग्निर्होता","agnirhotākavikratuḥsatyaś","अग्निर होता कविक्रतुः सत्यश","agnir hotā kavikratuḥ satyaś",1,"होता","hotā",2,"कविक्रतुः","kavikratuḥ","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,5,"Gayatri",0,"अग्निर्होता","agnirhotākavikratuḥsatyaś","अग्निर होता कविक्रतुः सत्यश","agnir hotā kavikratuḥ satyaś",2,"कविक्रतुः","kavikratuḥ",3,"सत्यश","satyaś","visarga sandhi","external visarga","high","generated",true,"Left underlying form ends in visarga before the next segment."
0,0,5,"Gayatri",2,"सत्यश्चित्रश्रवस्तमः","devodevebhir","देवो देवेभिर","devo devebhir",5,"देवो","devo",6,"देवेभिर","devebhir","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,6,"No Meter Detected",0,"यदङ्ग","yadaṅgadāśuṣetvamagnebhadraṃ","यद अङ्ग दाशुषे त्वम अग्ने भद्रं","yad aṅga dāśuṣe tvam agne bhadraṃ",0,"यद","yad",1,"अङ्ग","aṅga","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,6,"No Meter Detected",0,"यदङ्ग","yadaṅgadāśuṣetvamagnebhadraṃ","यद अङ्ग दाशुषे त्वम अग्ने भद्रं","yad aṅga dāśuṣe tvam agne bhadraṃ",1,"अङ्ग","aṅga",2,"दाशुषे","dāśuṣe","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,6,"No Meter Detected",0,"यदङ्ग","yadaṅgadāśuṣetvamagnebhadraṃ","यद अङ्ग दाशुषे त्वम अग्ने भद्रं","yad aṅga dāśuṣe tvam agne bhadraṃ",2,"दाशुषे","dāśuṣe",3,"त्वम","tvam","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,6,"No Meter Detected",0,"यदङ्ग","yadaṅgadāśuṣetvamagnebhadraṃ","यद अङ्ग दाशुषे त्वम अग्ने भद्रं","yad aṅga dāśuṣe tvam agne bhadraṃ",3,"त्वम","tvam",4,"अग्ने","agne","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,6,"No Meter Detected",0,"यदङ्ग","yadaṅgadāśuṣetvamagnebhadraṃ","यद अङ्ग दाशुषे त्वम अग्ने भद्रं","yad aṅga dāśuṣe tvam agne bhadraṃ",4,"अग्ने","agne",5,"भद्रं","bhadraṃ","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
