Mandala,Sukta,Rishis,Devatas,Categories,Verse,Meter,Verse_DEV,Verse_IAST,Word_Index,Word_DEV,Word_IAST,Syllable_Index,Syllable_DEV,Syllable_IAST,Syllable_Onset,Syllable_Nucleus,Syllable_Coda,Syllable_Weight,Syllable_Swaras,Syllable_IAST_Letters,Letter_Index,Letter_Value,Letter_HasSwara,Letter_SwaraType,Letter_PhonemeClass,Letter_VowelLength,Letter_IAST_Index,Letter_IAST_Value,Letter_IAST_PhonemeClass,Letter_IAST_VowelLength
0,0,"","","",1,"Gayatri"," वायवायाहि दर्शते । इमे सोमा अरंकृताः । तेभिः सूतास आ गहि ॥"," vāyav ā yāhi darśata । ime somā araṃkṛtāḥ । tebhis sūtāsa ā gahi ॥",0,"वायवायाहि","vāyavāyāhi",0,"ववय","vā","व","व","य","heavy","udatta","vā",0,"व",false,"udatta","Semivowel","None",0,"v","Semivowel","None"
0,0,"","","",1,"Gayatri"," वायवायाहि दर्शते । इमे सोमा अरंकृताः । तेभिः सूतास आ गहि ॥"," vāyav ā yāhi darśata । ime somā araṃkṛtāḥ । tebhis sūtāsa ā gahi ॥",0,"वायवायाहि","vāyavāyāhi",0,"ववय","vā","व","व","य","heavy","udatta","vā",1,"व",false,"udatta","Semivowel","None",1,"ā","Vowel","Long"
0,0,"","","",1,"Gayatri"," वायवायाहि दर्शते । इमे सोमा अरंकृताः । तेभिः सूतास आ गहि ॥"," vāyav ā yāhi darśata । ime somā araṃkṛtāḥ । tebhis sūtāsa ā gahi ॥",0,"वायवायाहि","vāyavāyāhi",0,"ववय","vā","व","व","य","heavy","udatta","vā",2,"य",false,"udatta","Semivowel","None",,"","",""
0,0,"","","",1,"Gayatri"," वायवायाहि दर्शते । इमे सोमा अरंकृताः । तेभिः सूतास आ गहि ॥"," vāyav ā yāhi darśata । ime somā araṃkṛtāḥ । tebhis sūtāsa ā gahi ॥",0,"वायवायाहि","vāyavāyāhi",1,"ववयह","ya","व","व","यह","light","udatta","ya",0,"व",false,"udatta","Semivowel","None",0,"y","Semivowel","None"
0,0,"","","",1,"Gayatri"," वायवायाहि दर्शते । इमे सोमा अरंकृताः । तेभिः सूतास आ गहि ॥"," vāyav ā yāhi darśata । ime somā araṃkṛtāḥ । tebhis sūtāsa ā gahi ॥",0,"वायवायाहि","vāyavāyāhi",1,"ववयह","ya","व","व","यह","light","udatta","ya",1,"व",false,"udatta","Semivowel","None",1,"a","Vowel","Short"
0,0,"","","",1,"Gayatri"," वायवायाहि दर्शते । इमे सोमा अरंकृताः । तेभिः सूतास आ गहि ॥"," vāyav ā yāhi darśata । ime somā araṃkṛtāḥ । tebhis sūtāsa ā gahi ॥",0,"वायवायाहि","vāyavāyāhi",1,"ववयह","ya","व","व","यह","light","udatta","ya",2,"य",false,"udatta","Semivowel","None",,"","",""
0,0,"","","",1,"Gayatri"," वायवायाहि दर्शते । इमे सोमा अरंकृताः । तेभिः सूतास आ गहि ॥"," vāyav ā yāhi darśata । ime somā araṃkṛtāḥ । tebhis sūtāsa ā gahi ॥",0,"वायवायाहि","vāyavāyāhi",1,"ववयह","ya","व","व","यह","light","udatta","ya",3,"ह",false,"udatta","Aspirate","None",,"","",""
0,0,"","","",1,"Gayatri"," वायवायाहि दर्शते । इमे सोमा अरंकृताः । तेभिः सूतास आ गहि ॥"," vāyav ā yāhi darśata । ime somā araṃkṛtāḥ । tebhis sūtāsa ā gahi ॥",1,"दर्शते","darśata",0,"ददरश","da","द","द","रश","heavy","udatta","da",0,"द",false,"udatta","Dental","None",0,"d","Dental","None"
0,0,"","","",1,"Gayatri"," वायवायाहि दर्शते । इमे सोमा अरंकृताः । तेभिः सूतास आ गहि ॥"," vāyav ā yāhi darśata । ime somā araṃkṛtāḥ । tebhis sūtāsa ā gahi ॥",1,"दर्शते","darśata",0,"ददरश","da","द","द","रश","heavy","udatta","da",1,"द",false,"udatta","Dental","None",1,"a","Vowel","Short"
0,0,"","","",1,"Gayatri"," वायवायाहि दर्शते । इमे सोमा अरंकृताः । तेभिः सूतास आ गहि ॥"," vāyav ā yāhi darśata । ime somā araṃkṛtāḥ । tebhis sūtāsa ā gahi ॥",1,"दर्शते","darśata",0,"ददरश","da","द","द","रश","heavy","udatta","da",2,"र",false,"udatta","Liquid","None",,"","",""
