Type,Key,Value
Letter,ं,9
Letter,ः,9
Letter,अ,3
Letter,आ,2
Letter,इ,5
Letter,उ,4
Letter,ऋ,4
Letter,क,7
Letter,ग,4
Letter,घ,1
Letter,च,9
Letter,छ,1
Letter,ज,5
Letter,ञ,1
Letter,ण,3
Letter,त,37
Letter,थ,3
Letter,द,12
Letter,ध,5
Letter,न,14
Letter,प,11
Letter,ब,2
Letter,भ,3
Letter,म,20
Letter,य,13
Letter,र,25
Letter,व,26
Letter,श,8
Letter,ष,4
Letter,स,17
Letter,ह,7
Letter,ा,45
Letter,ि,23
Letter,ी,5
Letter,ु,15
Letter,ू,5
Letter,ृ,6
Letter,े,13
Letter,ो,8
Letter,्,41
Swara,udatta,435
PhonemeClass,Aspirate,16
PhonemeClass,Dental,57
PhonemeClass,Labial,16
PhonemeClass,Liquid,25
PhonemeClass,Nasal,47
PhonemeClass,Palatal,15
PhonemeClass,Semivowel,39
PhonemeClass,Sibilant,29
PhonemeClass,Velar,12
PhonemeClass,Vowel,138
NGramEntropy,PhoneticBigram,7.10092
NGramEntropy,PhoneticTrigram,8.37482
PhoneticBigram,  ,16
PhoneticBigram, a,4
PhoneticBigram, b,1
PhoneticBigram, c,5
PhoneticBigram, d,7
PhoneticBigram, g,4
PhoneticBigram, h,3
PhoneticBigram, i,6
PhoneticBigram, j,3
PhoneticBigram, k,2
PhoneticBigram, m,3
PhoneticBigram, n,2
PhoneticBigram, p,5
PhoneticBigram, s,9
PhoneticBigram, t,5
PhoneticBigram, u,6
PhoneticBigram, v,8
PhoneticBigram, y,2
PhoneticBigram, ā,6
PhoneticBigram, ṛ,4
PhoneticBigram,a ,12
PhoneticBigram,ac,1
PhoneticBigram,ad,2
PhoneticBigram,ah,2
PhoneticBigram,ak,2
PhoneticBigram,am,8
PhoneticBigram,an,3
PhoneticBigram,ap,3
PhoneticBigram,ar,8
PhoneticBigram,as,6
PhoneticBigram,at,9
PhoneticBigram,av,8
PhoneticBigram,ay,4
PhoneticBigram,aś,2
PhoneticBigram,aḥ,4
PhoneticBigram,aṃ,7
PhoneticBigram,ba,1
PhoneticBigram,bh,3
PhoneticBigram,bṛ,1
PhoneticBigram,ca,5
PhoneticBigram,cc,1
PhoneticBigram,ce,1
PhoneticBigram,ch,1
PhoneticBigram,cī,2
PhoneticBigram,da,7
PhoneticBigram,dh,5
PhoneticBigram,dr,4
PhoneticBigram,dā,1
PhoneticBigram,e ,7
PhoneticBigram,eb,1
PhoneticBigram,en,2
PhoneticBigram,et,1
PhoneticBigram,ga,3
PhoneticBigram,gh,1
PhoneticBigram,gā,1
PhoneticBigram,ha,5
PhoneticBigram,he,2
PhoneticBigram,hi,7
PhoneticBigram,hu,1
PhoneticBigram,hé,1
PhoneticBigram,hā,3
PhoneticBigram,hṛ,1
PhoneticBigram,i ,7
PhoneticBigram,ib,1
PhoneticBigram,id,1
PhoneticBigram,ig,1
PhoneticBigram,ij,1
PhoneticBigram,im,2
PhoneticBigram,in,5
PhoneticBigram,ir,2
PhoneticBigram,is,1
PhoneticBigram,it,5
PhoneticBigram,iy,1
PhoneticBigram,iḥ,1
PhoneticBigram,ja,2
PhoneticBigram,ji,2
PhoneticBigram,jā,1
PhoneticBigram,ka,1
PhoneticBigram,kr,1
PhoneticBigram,kt,1
PhoneticBigram,kṛ,1
PhoneticBigram,kṣ,3
PhoneticBigram,m ,12
PhoneticBigram,ma,1
PhoneticBigram,me,2
PhoneticBigram,mi,3
PhoneticBigram,mā,2
PhoneticBigram,na,2
PhoneticBigram,nd,4
PhoneticBigram,no,1
PhoneticBigram,nt,3
PhoneticBigram,nv,1
PhoneticBigram,nā,2
PhoneticBigram,nī,1
PhoneticBigram,o ,4
PhoneticBigram,ob,1
PhoneticBigram,om,3
PhoneticBigram,pa,3
PhoneticBigram,pi,1
PhoneticBigram,pr,3
PhoneticBigram,pī,1
PhoneticBigram,pū,1
PhoneticBigram,pṛ,2
PhoneticBigram,r ,2
PhoneticBigram,ra,12
PhoneticBigram,ri,2
PhoneticBigram,ru,4
PhoneticBigram,rv,1
PhoneticBigram,rā,2
PhoneticBigram,rś,1
PhoneticBigram,rū,1
PhoneticBigram,s ,2
PhoneticBigram,sa,3
PhoneticBigram,si,1
PhoneticBigram,so,3
PhoneticBigram,sp,1
PhoneticBigram,su,5
PhoneticBigram,sā,1
PhoneticBigram,sū,2
PhoneticBigram,ta,14
PhoneticBigram,te,3
PhoneticBigram,th,3
PhoneticBigram,ti,2
PhoneticBigram,tr,3
PhoneticBigram,tu,2
PhoneticBigram,tv,1
PhoneticBigram,tā,11
PhoneticBigram,tī,1
PhoneticBigram,uk,2
PhoneticBigram,um,1
PhoneticBigram,un,1
PhoneticBigram,up,2
PhoneticBigram,ur,2
PhoneticBigram,ut,4
PhoneticBigram,uv,2
PhoneticBigram,uś,1
PhoneticBigram,uṇ,3
PhoneticBigram,uṣ,1
PhoneticBigram,v ,3
PhoneticBigram,va,7
PhoneticBigram,ve,1
PhoneticBigram,vi,4
PhoneticBigram,vo,1
PhoneticBigram,vā,9
PhoneticBigram,vṛ,1
PhoneticBigram,ya,5
PhoneticBigram,ye,1
PhoneticBigram,yo,3
PhoneticBigram,yā,3
PhoneticBigram,yū,1
PhoneticBigram,éb,1
PhoneticBigram,ñc,1
PhoneticBigram,ā ,15
PhoneticBigram,āc,1
PhoneticBigram,ād,2
PhoneticBigram,āh,1
