Mandala,Sukta,Verse,Meter,Surface_Word_Index,Surface_DEV,Surface_IAST,Segmented_DEV,Segmented_IAST,Left_Underlying_Word_Index,Left_Underlying_DEV,Left_Underlying_IAST,Right_Underlying_Word_Index,Right_Underlying_DEV,Right_Underlying_IAST,Category,Subtype,Confidence,Normalization_Status,Detected,Notes
0,0,1,"Gayatri",0,"वायवायाहि","vāyavāyāhi","वायव आ याहि","vāyav ā yāhi",0,"वायव","vāyav",1,"आ","ā","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,1,"Gayatri",0,"वायवायाहि","vāyavāyāhi","वायव आ याहि","vāyav ā yāhi",1,"आ","ā",2,"याहि","yāhi","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,2,"No Meter Detected",1,"उक्थेभिर्जरितारस्त्वामच्छा","ukthébhirjaritārastvāmacchā","उक्थ्é्भिर जरितारस त्वाम अच्छा","ukthébhir jaritāras tvām acchā",1,"उक्थ्é्भिर","ukthébhir",2,"जरितारस","jaritāras","consonant sandhi","external consonant contact","medium","generated",true,"Both sides of the boundary are consonantal."
0,0,2,"No Meter Detected",1,"उक्थेभिर्जरितारस्त्वामच्छा","ukthébhirjaritārastvāmacchā","उक्थ्é्भिर जरितारस त्वाम अच्छा","ukthébhir jaritāras tvām acchā",2,"जरितारस","jaritāras",3,"त्वाम","tvām","consonant sandhi","external consonant contact","medium","generated",true,"Both sides of the boundary are consonantal."
0,0,2,"No Meter Detected",1,"उक्थेभिर्जरितारस्त्वामच्छा","ukthébhirjaritārastvāmacchā","उक्थ्é्भिर जरितारस त्वाम अच्छा","ukthébhir jaritāras tvām acchā",3,"त्वाम","tvām",4,"अच्छा","acchā","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,4,"Gayatri",4,"प्रयोभिरा","prayobhirāgatam","प्रयोभिर आ गतम","prayobhir ā gatam",4,"प्रयोभिर","prayobhir",5,"आ","ā","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,4,"Gayatri",4,"प्रयोभिरा","prayobhirāgatam","प्रयोभिर आ गतम","prayobhir ā gatam",5,"आ","ā",6,"गतम","gatam","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,4,"Gayatri",6,"इन्दवो","vāmuśanti","वाम उशन्ति","vām uśanti",8,"वाम","vām",9,"उशन्ति","uśanti","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,5,"No Meter Detected",0,"वायविन्द्रश्च","vāyavindraścacetathaḥsutānāmvājinīvasū","वायव इन्द्रश च चेतथः सुतानाम वाजिनीवसू","vāyav indraś ca cetathaḥ sutānām vājinīvasū",0,"वायव","vāyav",1,"इन्द्रश","indraś","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,5,"No Meter Detected",0,"वायविन्द्रश्च","vāyavindraścacetathaḥsutānāmvājinīvasū","वायव इन्द्रश च चेतथः सुतानाम वाजिनीवसू","vāyav indraś ca cetathaḥ sutānām vājinīvasū",1,"इन्द्रश","indraś",2,"च","ca","consonant sandhi","external consonant contact","medium","generated",true,"Both sides of the boundary are consonantal."
0,0,5,"No Meter Detected",0,"वायविन्द्रश्च","vāyavindraścacetathaḥsutānāmvājinīvasū","वायव इन्द्रश च चेतथः सुतानाम वाजिनीवसू","vāyav indraś ca cetathaḥ sutānām vājinīvasū",2,"च","ca",3,"चेतथः","cetathaḥ","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,5,"No Meter Detected",0,"वायविन्द्रश्च","vāyavindraścacetathaḥsutānāmvājinīvasū","वायव इन्द्रश च चेतथः सुतानाम वाजिनीवसू","vāyav indraś ca cetathaḥ sutānām vājinīvasū",3,"चेतथः","cetathaḥ",4,"सुतानाम","sutānām","visarga sandhi","external visarga","high","generated",true,"Left underlying form ends in visarga before the next segment."
0,0,5,"No Meter Detected",0,"वायविन्द्रश्च","vāyavindraścacetathaḥsutānāmvājinīvasū","वायव इन्द्रश च चेतथः सुतानाम वाजिनीवसू","vāyav indraś ca cetathaḥ sutānām vājinīvasū",4,"सुतानाम","sutānām",5,"वाजिनीवसू","vājinīvasū","consonant sandhi","external consonant contact","medium","generated",true,"Both sides of the boundary are consonantal."
0,0,5,"No Meter Detected",1,"चेतथः","tāvā","ताव आ","tāv ā",6,"ताव","tāv",7,"आ","ā","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,6,"No Meter Detected",1,"इन्द्रश्च","indraśca","इन्द्रश च","indraś ca",1,"इन्द्रश","indraś",2,"च","ca","consonant sandhi","external consonant contact","medium","generated",true,"Both sides of the boundary are consonantal."
0,0,8,"No Meter Detected",4,"क्रतुम्","kratumbṛhantam","क्रतुम बृहन्तम","kratum bṛhantam",4,"क्रतुम","kratum",5,"बृहन्तम","bṛhantam","consonant sandhi","external consonant contact","medium","generated",true,"Both sides of the boundary are consonantal."
