Mandala,Sukta,Rishis,Devatas,Categories,Verse,Meter,Verse_DEV,Verse_IAST,Word_Index,Word_DEV,Word_IAST,Syllable_Index,Syllable_DEV,Syllable_IAST,Syllable_Onset,Syllable_Nucleus,Syllable_Coda,Syllable_Weight,Syllable_Swaras,Syllable_IAST_Letters,Letter_Index,Letter_Value,Letter_HasSwara,Letter_SwaraType,Letter_PhonemeClass,Letter_VowelLength,Letter_IAST_Index,Letter_IAST_Value,Letter_IAST_PhonemeClass,Letter_IAST_VowelLength
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1,"Tristubh"," अहं रुद्रेभिर् वसुभि श्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",0,"अहं","ahaṃ",0,"अह","a","","अ","ह","heavy","udatta","a",0,"अ",false,"udatta","Vowel","Short",0,"a","Vowel","Short"
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1,"Tristubh"," अहं रुद्रेभिर् वसुभि श्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",0,"अहं","ahaṃ",0,"अह","a","","अ","ह","heavy","udatta","a",1,"ह",false,"udatta","Aspirate","None",,"","",""
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1,"Tristubh"," अहं रुद्रेभिर् वसुभि श्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्","rudrebhir",0,"ररदरभर","ru","र","र","दरभर","heavy","udatta","ru",0,"र",false,"udatta","Liquid","None",0,"r","Liquid","None"
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1,"Tristubh"," अहं रुद्रेभिर् वसुभि श्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्","rudrebhir",0,"ररदरभर","ru","र","र","दरभर","heavy","udatta","ru",1,"र",false,"udatta","Liquid","None",1,"u","Vowel","Short"
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1,"Tristubh"," अहं रुद्रेभिर् वसुभि श्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्","rudrebhir",0,"ररदरभर","ru","र","र","दरभर","heavy","udatta","ru",2,"द",false,"udatta","Dental","None",,"","",""
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1,"Tristubh"," अहं रुद्रेभिर् वसुभि श्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्","rudrebhir",0,"ररदरभर","ru","र","र","दरभर","heavy","udatta","ru",3,"र",false,"udatta","Liquid","None",,"","",""
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1,"Tristubh"," अहं रुद्रेभिर् वसुभि श्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्","rudrebhir",0,"ररदरभर","ru","र","र","दरभर","heavy","udatta","ru",4,"भ",false,"udatta","Labial","None",,"","",""
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1,"Tristubh"," अहं रुद्रेभिर् वसुभि श्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्","rudrebhir",0,"ररदरभर","ru","र","र","दरभर","heavy","udatta","ru",5,"र",false,"udatta","Liquid","None",,"","",""
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1,"Tristubh"," अहं रुद्रेभिर् वसुभि श्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",2,"वसुभि","vasubhiś",0,"ववसभ","va","व","व","सभ","light","udatta","va",0,"व",false,"udatta","Semivowel","None",0,"v","Semivowel","None"
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1,"Tristubh"," अहं रुद्रेभिर् वसुभि श्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",2,"वसुभि","vasubhiś",0,"ववसभ","va","व","व","सभ","light","udatta","va",1,"व",false,"udatta","Semivowel","None",1,"a","Vowel","Short"
