Type,Key,Value
Letter,ं,33
Letter,ः,5
Letter,अ,16
Letter,आ,2
Letter,इ,1
Letter,ई,1
Letter,उ,3
Letter,ऋ,1
Letter,ए,2
Letter,क,6
Letter,ग,4
Letter,च,2
Letter,ज,4
Letter,ञ,1
Letter,ट,3
Letter,ठ,1
Letter,ण,10
Letter,त,40
Letter,थ,4
Letter,द,21
Letter,ध,6
Letter,न,28
Letter,प,16
Letter,ब,5
Letter,भ,15
Letter,म,52
Letter,य,26
Letter,र,42
Letter,व,48
Letter,श,14
Letter,ष,12
Letter,स,18
Letter,ह,21
Letter,ऽ,1
Letter,ा,55
Letter,ि,51
Letter,ी,7
Letter,ु,26
Letter,ू,7
Letter,ृ,6
Letter,े,22
Letter,ै,2
Letter,ो,14
Letter,्,75
Swara,anudatta,78
Swara,svarita,49
Swara,udatta,602
PhonemeClass,Aspirate,26
PhonemeClass,Dental,71
PhonemeClass,Labial,36
PhonemeClass,Liquid,42
PhonemeClass,Nasal,124
PhonemeClass,Palatal,6
PhonemeClass,Retroflex,4
PhonemeClass,Semivowel,74
PhonemeClass,Sibilant,44
PhonemeClass,Velar,10
PhonemeClass,Vowel,216
NGramEntropy,PhoneticBigram,7.35107
NGramEntropy,PhoneticTrigram,9.01689
PhoneticBigram,  ,24
PhoneticBigram, a,16
PhoneticBigram, b,10
PhoneticBigram, c,2
PhoneticBigram, d,8
PhoneticBigram, e,2
PhoneticBigram, h,2
PhoneticBigram, i,1
PhoneticBigram, j,2
PhoneticBigram, k,4
PhoneticBigram, m,8
PhoneticBigram, p,10
PhoneticBigram, r,3
PhoneticBigram, s,12
PhoneticBigram, t,11
PhoneticBigram, u,3
PhoneticBigram, v,13
PhoneticBigram, y,7
PhoneticBigram, ā,2
PhoneticBigram, ī,1
PhoneticBigram, ś,5
PhoneticBigram, ṛ,1
PhoneticBigram,a ,15
PhoneticBigram,ab,1
PhoneticBigram,ad,6
PhoneticBigram,ag,1
PhoneticBigram,ah,16
PhoneticBigram,air,1
PhoneticBigram,aiḥ,1
PhoneticBigram,aj,2
PhoneticBigram,am,12
PhoneticBigram,an,6
PhoneticBigram,ap,1
PhoneticBigram,ar,9
PhoneticBigram,as,3
PhoneticBigram,at,5
PhoneticBigram,av,2
PhoneticBigram,ay,3
PhoneticBigram,aś,2
PhoneticBigram,a̍,20
PhoneticBigram,a̱,18
PhoneticBigram,aḥ,2
PhoneticBigram,aṃ,24
PhoneticBigram,aṇ,1
PhoneticBigram,aṣ,1
PhoneticBigram,ba,1
PhoneticBigram,bh,15
PhoneticBigram,bi,2
PhoneticBigram,br,2
PhoneticBigram,ca,1
PhoneticBigram,ci,1
PhoneticBigram,da,4
PhoneticBigram,dd,1
PhoneticBigram,de,3
PhoneticBigram,dh,6
PhoneticBigram,di,3
PhoneticBigram,dr,5
PhoneticBigram,dv,1
PhoneticBigram,dy,2
PhoneticBigram,dā,2
