Type,Key,Value
Letter,ं,10
Letter,ः,7
Letter,अ,5
Letter,इ,1
Letter,उ,1
Letter,ए,1
Letter,क,4
Letter,ग,13
Letter,ङ,2
Letter,च,3
Letter,छ,1
Letter,ज,4
Letter,ञ,2
Letter,ड,1
Letter,ण,1
Letter,त,31
Letter,द,17
Letter,ध,5
Letter,न,22
Letter,प,8
Letter,भ,7
Letter,म,20
Letter,य,16
Letter,र,27
Letter,ळ,1
Letter,व,35
Letter,श,6
Letter,ष,7
Letter,स,20
Letter,ह,4
Letter,ऽ,1
Letter,ा,17
Letter,ि,29
Letter,ी,5
Letter,ु,6
Letter,ू,4
Letter,ृ,1
Letter,े,26
Letter,ै,1
Letter,ो,10
Letter,्,54
Swara,udatta,436
PhonemeClass,Aspirate,11
PhonemeClass,Dental,53
PhonemeClass,Labial,15
PhonemeClass,Liquid,27
PhonemeClass,Nasal,57
PhonemeClass,Palatal,8
PhonemeClass,Retroflex,1
PhonemeClass,Semivowel,51
PhonemeClass,Sibilant,33
PhonemeClass,Velar,17
PhonemeClass,Vowel,107
NGramEntropy,PhoneticBigram,7.03877
NGramEntropy,PhoneticTrigram,8.38948
PhoneticBigram,  ,9
PhoneticBigram, a,12
PhoneticBigram, b,3
PhoneticBigram, c,1
PhoneticBigram, d,12
PhoneticBigram, e,3
PhoneticBigram, g,3
PhoneticBigram, h,2
PhoneticBigram, i,1
PhoneticBigram, k,2
PhoneticBigram, n,4
PhoneticBigram, p,5
PhoneticBigram, r,4
PhoneticBigram, s,10
PhoneticBigram, t,3
PhoneticBigram, u,1
PhoneticBigram, v,5
PhoneticBigram, y,5
PhoneticBigram, ā,1
PhoneticBigram, ī,1
PhoneticBigram, ṛ,1
PhoneticBigram,a ,15
PhoneticBigram,ac,2
PhoneticBigram,ad,5
PhoneticBigram,ag,7
PhoneticBigram,air,1
PhoneticBigram,aj,2
PhoneticBigram,ak,1
PhoneticBigram,am,15
PhoneticBigram,an,4
PhoneticBigram,ar,7
PhoneticBigram,as,10
PhoneticBigram,at,12
PhoneticBigram,av,7
PhoneticBigram,ay,3
PhoneticBigram,aś,4
PhoneticBigram,aḥ,5
PhoneticBigram,aṃ,9
PhoneticBigram,aṅ,2
PhoneticBigram,bh,7
PhoneticBigram,ca,1
PhoneticBigram,cc,1
PhoneticBigram,ch,1
PhoneticBigram,ci,1
PhoneticBigram,d ,2
PhoneticBigram,da,1
PhoneticBigram,de,5
PhoneticBigram,dh,5
PhoneticBigram,di,5
PhoneticBigram,do,1
PhoneticBigram,dr,1
PhoneticBigram,dā,1
PhoneticBigram,dī,1
PhoneticBigram,e ,12
PhoneticBigram,eb,2
PhoneticBigram,ed,2
PhoneticBigram,eh,1
PhoneticBigram,em,1
PhoneticBigram,et,1
PhoneticBigram,ev,7
PhoneticBigram,eṣ,1
PhoneticBigram,ga,3
PhoneticBigram,gh,1
PhoneticBigram,gi,1
PhoneticBigram,gn,7
PhoneticBigram,go,1
PhoneticBigram,ha,6
PhoneticBigram,hi,5
PhoneticBigram,hn,1
PhoneticBigram,ho,2
PhoneticBigram,hv,2
PhoneticBigram,hā,1
PhoneticBigram,hū,1
PhoneticBigram,i ,4
PhoneticBigram,ib,2
PhoneticBigram,id,1
PhoneticBigram,ik,1
PhoneticBigram,im,3
PhoneticBigram,in,1
PhoneticBigram,ir,5
PhoneticBigram,it,3
PhoneticBigram,iv,5
PhoneticBigram,iy,1
PhoneticBigram,iś,1
PhoneticBigram,iḥ,1
PhoneticBigram,iṣ,1
PhoneticBigram,ja,2
PhoneticBigram,jñ,2
PhoneticBigram,ka,2
PhoneticBigram,kr,1
PhoneticBigram,kṣ,1
PhoneticBigram,m ,10
PhoneticBigram,ma,7
PhoneticBigram,me,1
PhoneticBigram,mo,1
PhoneticBigram,mā,1
PhoneticBigram,na,7
PhoneticBigram,nai,1
PhoneticBigram,ne,5
PhoneticBigram,ni,4
PhoneticBigram,no,1
PhoneticBigram,nt,2
PhoneticBigram,nā,1
PhoneticBigram,nū,1
PhoneticBigram,o ,4
PhoneticBigram,oh,1
PhoneticBigram,op,1
PhoneticBigram,ot,2
PhoneticBigram,oṣ,2
PhoneticBigram,pa,2
