Character,Character,Count
"ं","क",1
"ं","ग",1
"ं","त",1
"ं","न",2
"ं","य",4
"ं","र",5
"ं","व",3
"ं","स",2
"ं","ा",1
"ः","उ",1
"ः","त",1
"ः","द",1
"ः","न",2
"ः","प",3
"ः","म",1
"ः","र",1
"ः","स",2
"ः","ि",1
"ः","ु",1
"अ","ग",5
"अ","म",1
"अ","ि",2
"अ","्",1
"इ","द",1
"इ","स",1
"उ","ः",1
"उ","प",1
"ए","त",1
"ए","म",1
"क","ं",1
"क","र",1
"क","व",2
"क","ा",1
"क","ि",1
"क","्",2
"ग","ं",1
"ग","अ",5
"ग","च",1
"ग","द",1
"ग","म",2
"ग","ऽ",1
"ग","ा",2
"ग","ि",1
"ग","ु",1
"ग","ो",1
"ग","्",10
"ङ","द",1
"ङ","म",1
"ङ","्",2
"च","ग",1
"च","स",2
"च","ि",1
"च","्",2
"छ","त",1
"छ","्",1
"ज","न",1
"ज","म",1
"ज","य",2
"ज","ा",1
"ज","ी",1
"ज","्",2
"ञ","म",1
"ञ","स",1
"ञ","्",2
"ड","ी",1
"ड","्",1
"ण","ा",2
"त","ं",1
"त","ः",1
"त","ए",1
"त","छ",1
"त","त",2
"त","न",1
"त","प",1
"त","म",5
"त","य",1
"त","र",4
"त","व",4
"त","ष",1
"त","स",4
"त","ा",3
"त","ि",6
"त","ु",2
"त","ू",1
"त","ृ",1
"त","े",3
"त","ो",2
"त","्",17
"द","ः",1
"द","इ",1
"द","ग",1
"द","ङ",1
"द","भ",1
"द","म",1
"द","य",3
"द","व",1
"द","स",1
"द","ा",1
"द","ि",5
"द","ी",2
"द","े",10
"द","ो",2
"द","्",3
"ध","न",1
"ध","म",3
"ध","ा",1
"ध","ि",1
"ध","्",4
"न","ं",2
"न","ः",2
"न","ज",1
"न","त",1
"न","ध",1
"न","म",1
"न","य",1
"न","र",1
"न","व",2
"न","स",1
"न","ा",4
"न","ि",5
"न","ू",2
"न","े",5
"न","ै",1
"न","ो",2
"न","्",12
"प","ः",3
"प","उ",1
"प","त",1
"प","र",1
"प","ा",2
"प","ि",1
"प","ु",2
"प","ू",1
"प","े",1
"प","ो",2
"प","्",1
"भ","द",1
"भ","र",1
"भ","व",1
"भ","ि",5
"भ","ू",1
"भ","े",3
"भ","ो",2
"म","ः",1
"म","अ",1
"म","ए",1
"म","ग",2
"म","ङ",1
"म","ज",1
"म","ञ",1
"म","त",5
"म","द",1
"म","ध",3
"म","न",1
"म","म",4
"म","य",1
"म","व",1
"म","श",1
"म","ष",1
"म","स",1
"म","ह",1
"म","ा",2
"म","ि",3
"म","ी",1
"म","ृ",1
"म","े",2
"म","ो",1
"म","्",2
"य","ं",4
"य","ज",2
"य","त",1
"य","द",3
"य","न",1
"य","म",1
"य","र",1
"य","व",1
"य","श",2
"य","स",1
"य","ा",2
"य","ि",2
"य","े",3
"य","ो",1
"य","्",7
"र","ं",5
"र","ः",1
"र","क",1
"र","त",4
"र","न",1
"र","प",1
"र","भ",1
"र","य",1
"र","व",5
"र","श",1
"र","स",1
"र","ा",5
"र","ि",8
"र","ी",2
"र","ु",2
"र","ू",2
"र","ै",1
"र","ो",1
"र","्",11
"ळ","ी",1
"ळ","े",1
"व","ं",3
"व","क",2
"व","त",4
"व","द",1
"व","न",2
"व","भ",1
"व","म",1
"व","य",1
"व","र",5
"व","स",5
"व","ह",1
"व","ा",5
"व","ि",8
"व","ी",2
"व","े",17
"व","ो",1
"व","्",11
"श","म",1
"श","य",2
"श","र",1
"श","स",1
"श","ा",1
"श","ि",1
"श","ु",1
"श","्",4
"ष","त",1
"ष","म",1
"ष","ा",1
"ष","ि",2
"ष","ु",2
"ष","े",2
"ष","ो",2
"ष","्",3
"स","ं",2
"स","ः",2
"स","इ",1
"स","च",2
"स","ञ",1
"स","त",4
"स","द",1
"स","न",1
"स","म",1
"स","य",1
"स","र",1
"स","व",5
"स","श",1
"स","ि",4
"स","ु",1
"स","ू",1
"स","े",2
"स","्",9
"ह","म",1
"ह","व",1
"ह","ि",1
"ह","े",1
"ह","ो",3
"ह","्",1
"ऽ","ग",1
"ऽ","े",1
"ा","ं",1
"ा","क",1
"ा","ग",2
"ा","ज",1
"ा","ण",2
"ा","त",3
"ा","द",1
"ा","ध",1
"ा","न",4
"ा","प",2
"ा","म",2
"ा","य",2
"ा","र",5
"ा","व",5
"ा","श",1
"ा","ष",1
"ि","ः",1
"ि","अ",2
"ि","क",1
"ि","ग",1
"ि","च",1
"ि","त",6
"ि","द",5
"ि","ध",1
"ि","न",5
"ि","प",1
"ि","भ",5
"ि","म",3
"ि","य",2
"ि","र",8
"ि","व",8
"ि","श",1
"ि","ष",2
"ि","स",4
"ि","ह",1
"ी","ज",1
"ी","ड",1
"ी","द",2
"ी","म",1
"ी","र",2
"ी","ळ",1
"ी","व",2
"ु","ः",1
"ु","ग",1
"ु","त",2
"ु","प",2
"ु","र",2
"ु","श",1
"ु","ष",2
"ु","स",1
"ू","त",1
"ू","न",2
"ू","प",1
"ू","भ",1
"ू","र",2
"ू","स",1
"ृ","त",1
"ृ","म",1
"े","त",3
"े","द",10
"े","न",5
"े","प",1
"े","भ",3
"े","म",2
"े","य",3
"े","ळ",1
"े","व",17
"े","ष",2
"े","स",2
"े","ह",1
"े","ऽ",1
"ै","न",1
"ै","र",1
"ो","ग",1
"ो","त",2
"ो","द",2
"ो","न",2
"ो","प",2
"ो","भ",2
"ो","म",1
"ो","य",1
"ो","र",1
"ो","व",1
"ो","ष",2
"ो","ह",3
"्","अ",1
"्","क",2
"्","ग",10
"्","ङ",2
"्","च",2
"्","छ",1
"्","ज",2
"्","ञ",2
"्","ड",1
"्","त",17
"्","द",3
"्","ध",4
"्","न",12
"्","प",1
"्","म",2
"्","य",7
"्","र",11
"्","व",11
"्","श",4
"्","ष",3
"्","स",9
"्","ह",1

WideMatrix
"Character","ं","ः","अ","इ","उ","ए","क","ग","ङ","च","छ","ज","ञ","ड","ण","त","द","ध","न","प","भ","म","य","र","ळ","व","श","ष","स","ह","ऽ","ा","ि","ी","ु","ू","ृ","े","ै","ो","्"
"ं",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,4,5,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
"ः",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,0,1,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0
"अ",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
"इ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"उ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ए",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"क",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
"ग",1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,1,10
"ङ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"च",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2
"छ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ज",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
"ञ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"ड",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"ण",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"त",1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,5,1,4,0,4,0,1,4,0,0,3,6,0,2,1,1,3,0,2,17
"द",0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,1,0,0,1,5,2,0,0,0,10,0,2,3
