Mandala,Sukta,Rishis,Devatas,Categories,Verse,Meter,Verse_DEV,Verse_IAST,Word_Index,Word_DEV,Word_IAST,Syllable_Index,Syllable_DEV,Syllable_IAST,Syllable_Onset,Syllable_Nucleus,Syllable_Coda,Syllable_Weight,Syllable_Swaras,Syllable_IAST_Letters,Letter_Index,Letter_Value,Letter_HasSwara,Letter_SwaraType,Letter_PhonemeClass,Letter_VowelLength,Letter_IAST_Index,Letter_IAST_Value,Letter_IAST_PhonemeClass,Letter_IAST_VowelLength
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",0,"अग्निमीळे","agnimīḻe",0,"अगनमळ","a","","अ","गनमळ","heavy","udatta","a",0,"अ",false,"udatta","Vowel","Short",0,"a","Vowel","Short"
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",0,"अग्निमीळे","agnimīḻe",0,"अगनमळ","a","","अ","गनमळ","heavy","udatta","a",1,"ग",false,"udatta","Velar","None",,"","",""
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",0,"अग्निमीळे","agnimīḻe",0,"अगनमळ","a","","अ","गनमळ","heavy","udatta","a",2,"न",false,"udatta","Nasal","None",,"","",""
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",0,"अग्निमीळे","agnimīḻe",0,"अगनमळ","a","","अ","गनमळ","heavy","udatta","a",3,"म",false,"udatta","Nasal","None",,"","",""
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",0,"अग्निमीळे","agnimīḻe",0,"अगनमळ","a","","अ","गनमळ","heavy","udatta","a",4,"ळ",false,"udatta","Other","None",,"","",""
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",1,"पुरोहितं","purohitaṃ",0,"पपरहत","pu","प","प","रहत","heavy","udatta","pu",0,"प",false,"udatta","Labial","None",0,"p","Labial","None"
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",1,"पुरोहितं","purohitaṃ",0,"पपरहत","pu","प","प","रहत","heavy","udatta","pu",1,"प",false,"udatta","Labial","None",1,"u","Vowel","Short"
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",1,"पुरोहितं","purohitaṃ",0,"पपरहत","pu","प","प","रहत","heavy","udatta","pu",2,"र",false,"udatta","Liquid","None",,"","",""
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",1,"पुरोहितं","purohitaṃ",0,"पपरहत","pu","प","प","रहत","heavy","udatta","pu",3,"ह",false,"udatta","Aspirate","None",,"","",""
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",1,"पुरोहितं","purohitaṃ",0,"पपरहत","pu","प","प","रहत","heavy","udatta","pu",4,"त",false,"udatta","Dental","None",,"","",""
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",2,"यज्ञस्य","yajñasya",0,"ययजञ","ya","य","य","जञ","heavy","udatta","ya",0,"य",false,"udatta","Semivowel","None",0,"y","Semivowel","None"
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",2,"यज्ञस्य","yajñasya",0,"ययजञ","ya","य","य","जञ","heavy","udatta","ya",1,"य",false,"udatta","Semivowel","None",1,"a","Vowel","Short"
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",2,"यज्ञस्य","yajñasya",0,"ययजञ","ya","य","य","जञ","heavy","udatta","ya",2,"ज",false,"udatta","Palatal","None",,"","",""
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",2,"यज्ञस्य","yajñasya",0,"ययजञ","ya","य","य","जञ","heavy","udatta","ya",3,"ञ",false,"udatta","Nasal","None",,"","",""
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",2,"यज्ञस्य","yajñasya",1,"सयय","jña","सय","य","","light","udatta","jña",0,"स",false,"udatta","Sibilant","None",0,"j","Palatal","None"
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",2,"यज्ञस्य","yajñasya",1,"सयय","jña","सय","य","","light","udatta","jña",1,"य",false,"udatta","Semivowel","None",1,"ñ","Nasal","None"
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",2,"यज्ञस्य","yajñasya",1,"सयय","jña","सय","य","","light","udatta","jña",2,"य",false,"udatta","Semivowel","None",2,"a","Vowel","Short"
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",3,"देवं","devaṃ",0,"ददव","de","द","द","व","heavy","udatta","de",0,"द",false,"udatta","Dental","None",0,"d","Dental","None"
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",3,"देवं","devaṃ",0,"ददव","de","द","द","व","heavy","udatta","de",1,"द",false,"udatta","Dental","None",1,"e","Vowel","Long"
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",3,"देवं","devaṃ",0,"ददव","de","द","द","व","heavy","udatta","de",2,"व",false,"udatta","Semivowel","None",,"","",""
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",4,"रत्वीजम","ratvījama",0,"ररतवज","ra","र","र","तवज","heavy","udatta","ra",0,"र",false,"udatta","Liquid","None",0,"r","Liquid","None"
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",4,"रत्वीजम","ratvījama",0,"ररतवज","ra","र","र","तवज","heavy","udatta","ra",1,"र",false,"udatta","Liquid","None",1,"a","Vowel","Short"
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",4,"रत्वीजम","ratvījama",0,"ररतवज","ra","र","र","तवज","heavy","udatta","ra",2,"त",false,"udatta","Dental","None",,"","",""
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",4,"रत्वीजम","ratvījama",0,"ररतवज","ra","र","र","तवज","heavy","udatta","ra",3,"व",false,"udatta","Semivowel","None",,"","",""
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",4,"रत्वीजम","ratvījama",0,"ररतवज","ra","र","र","तवज","heavy","udatta","ra",4,"ज",false,"udatta","Palatal","None",,"","",""
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",4,"रत्वीजम","ratvījama",1,"मम","tvī","म","म","","light","udatta","tvī",0,"म",false,"udatta","Nasal","None",0,"t","Dental","None"
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",4,"रत्वीजम","ratvījama",1,"मम","tvī","म","म","","light","udatta","tvī",1,"म",false,"udatta","Nasal","None",1,"v","Semivowel","None"
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",4,"रत्वीजम","ratvījama",1,"मम","tvī","म","म","","light","udatta","tvī","","","","","","",2,"ī","Vowel","Long"
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",5,"होतारं","hotāraṃ",0,"हहतर","ho","ह","ह","तर","heavy","udatta","ho",0,"ह",false,"udatta","Aspirate","None",0,"h","Aspirate","None"
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",5,"होतारं","hotāraṃ",0,"हहतर","ho","ह","ह","तर","heavy","udatta","ho",1,"ह",false,"udatta","Aspirate","None",1,"o","Vowel","Long"
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",5,"होतारं","hotāraṃ",0,"हहतर","ho","ह","ह","तर","heavy","udatta","ho",2,"त",false,"udatta","Dental","None",,"","",""
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",5,"होतारं","hotāraṃ",0,"हहतर","ho","ह","ह","तर","heavy","udatta","ho",3,"र",false,"udatta","Liquid","None",,"","",""
0,0,"","","",1,"Gayatri"," अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम | होतारं रत्नधातमम ||","agnim īḻe purohitaṃ yajñasya devaṃ ratvījama | hotāraṃ ratnadhātamama ||",6,"रत्नधातमम","ratnadhātamama",0,"ररतन","ra","र","र","तन","heavy","udatta","ra",0,"र",false,"udatta","Liquid","None",0,"r","Liquid","None"
