Mandala,Sukta,Rishis,Devatas,Categories,Verse,Verse_DEV,Verse_IAST,Word_Index,Word_DEV,Word_IAST,Syllable_Index,Syllable_Onset,Syllable_Nucleus,Syllable_Coda,Syllable_Weight,Syllable_Swaras,Letter_Index,Letter_Value,Letter_HasSwara,Letter_SwaraType
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",0,"अहं","ahaṃ",0,"","अ","हं",heavy,"udatta",0,"अ",false,udatta
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",0,"अहं","ahaṃ",0,"","अ","हं",heavy,"udatta",1,"ह",false,udatta
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",0,"अहं","ahaṃ",0,"","अ","हं",heavy,"udatta",2,"ं",false,udatta
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhir",0,"र","ु","दर",heavy,"udatta",0,"र",false,udatta
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhir",0,"र","ु","दर",heavy,"udatta",1,"ु",false,udatta
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhir",0,"र","ु","दर",heavy,"udatta",2,"द",false,udatta
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhir",0,"र","ु","दर",heavy,"udatta",3,"र",false,udatta
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhir",1,"","े","भ",heavy,"udatta",0,"े",false,udatta
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhir",1,"","े","भ",heavy,"udatta",1,"भ",false,udatta
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhir",2,"","ि","रवस",heavy,"udatta",0,"ि",false,udatta
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhir",2,"","ि","रवस",heavy,"udatta",1,"र",false,udatta
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhir",2,"","ि","रवस",heavy,"udatta",2,"व",false,udatta
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhir",2,"","ि","रवस",heavy,"udatta",3,"स",false,udatta
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhir",3,"","ु","भ",heavy,"udatta",0,"ु",false,udatta
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhir",3,"","ु","भ",heavy,"udatta",1,"भ",false,udatta
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhir",4,"","ि","शचर",heavy,"udatta",0,"ि",false,udatta
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhir",4,"","ि","शचर",heavy,"udatta",1,"श",false,udatta
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhir",4,"","ि","शचर",heavy,"udatta",2,"च",false,udatta
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhir",4,"","ि","शचर",heavy,"udatta",3,"र",false,udatta
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhir",5,"","ा","म",heavy,"udatta",0,"ा",false,udatta
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhir",5,"","ा","म",heavy,"udatta",1,"म",false,udatta
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhir",6,"","ि","",light,"udatta",0,"ि",false,udatta
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",2,"अहमा॑दित्यैरु॒त","vasubhiś",0,"","अ","हम",heavy,"udatta",0,"अ",false,udatta
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर्वसुभिश्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",2,"अहमा॑दित्यैरु॒त","vasubhiś",0,"","अ","हम",heavy,"udatta",1,"ह",false,udatta
